,date,tweet_count,daily_sent,elonmusk,michael_saylor,binance,peterlbrandt,apompliano,cashapp,raoulgmi,tyler,squawkcnbc,scottmelker
2021-02-03,2021-02-03,1,-0.75,0,0,0,0,0,0,0,0,0,0
2021-02-02,2021-02-02,1,0.6808,0,0,0,0,0,0,0,0,0,0
2021-02-01,2021-02-01,2,0.0,0,0,0,1,0,0,0,0,0,0
2021-01-31,2021-01-31,1,0.2732,0,0,0,0,0,0,0,0,0,0
2021-01-30,2021-01-30,3,-0.045366666666666645,0,0,0,0,0,0,0,0,0,0
2021-01-29,2021-01-29,7,0.6052142857142858,0,0,0,1,0,0,0,0,0,0
2021-01-28,2021-01-28,3,0.0,0,0,0,0,0,0,0,1,0,0
2021-01-27,2021-01-27,3,-0.1998,0,0,1,0,0,0,0,0,0,0
2021-01-26,2021-01-26,1,0.8883,0,0,1,0,0,0,0,0,0,0
2021-01-25,2021-01-25,7,0.5116857142857143,0,1,1,0,0,0,0,0,0,0
2021-01-24,2021-01-24,3,0.6759666666666666,0,0,0,0,0,0,0,0,0,0
2021-01-23,2021-01-23,1,-0.2944,0,0,0,0,0,0,0,0,0,0
2021-01-22,2021-01-22,8,0.394825,0,1,0,0,0,0,0,0,0,0
2021-01-21,2021-01-21,1,0.0,0,0,0,0,0,0,0,0,0,1
2021-01-20,2021-01-20,4,-0.048125,0,0,1,0,0,0,0,0,0,0
2021-01-19,2021-01-19,1,-0.6908,0,0,0,0,0,0,0,0,0,0
2021-01-18,2021-01-18,2,0.72585,0,0,0,0,0,0,0,1,0,0
2021-01-17,2021-01-17,3,0.5015666666666667,0,0,0,0,0,0,0,0,0,0
2021-01-16,2021-01-16,2,0.9218,0,0,1,0,0,0,0,0,0,0
2021-01-15,2021-01-15,5,0.1941,0,0,1,0,0,0,0,0,0,0
2021-01-14,2021-01-14,6,0.4080166666666667,0,0,1,0,0,0,0,0,0,0
2021-01-13,2021-01-13,6,0.44435,0,0,1,0,0,0,0,1,0,0
2021-01-12,2021-01-12,3,0.5188333333333334,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-11,11,0.08827272727272728,0,0,1,0,0,0,0,0,1,0
2021-01-10,2021-01-10,6,0.03316666666666668,0,0,1,0,0,0,0,0,0,0
2021-01-09,2021-01-09,3,-0.28053333333333336,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-08,5,0.29056,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-07,14,0.058721428571428556,0,0,1,1,0,0,0,0,1,0
2021-01-06,2021-01-06,8,0.0194625,0,0,1,0,0,0,0,0,0,0
2021-01-05,2021-01-05,2,0.33115,0,0,1,0,0,0,0,0,0,0
2021-01-04,2021-01-04,8,0.25475,0,0,0,0,0,0,0,0,1,0
2021-01-03,2021-01-03,4,0.031125,0,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-02,10,0.19282999999999997,0,0,1,0,0,0,0,0,0,1
2021-01-01,2021-01-01,2,0.8688,0,0,0,0,0,0,0,0,0,0
2020-12-31,2020-12-31,4,-0.161775,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-30,6,0.23696666666666666,0,0,1,0,0,0,0,0,0,0
2020-12-29,2020-12-29,14,0.0468,0,0,0,0,0,0,0,0,0,1
2020-12-28,2020-12-28,5,0.07301999999999997,0,1,0,0,0,0,0,0,0,0
2020-12-27,2020-12-27,8,0.021900000000000003,0,0,1,1,0,0,0,0,0,0
2020-12-26,2020-12-26,5,0.2398,0,0,0,0,0,0,0,0,0,0
2020-12-25,2020-12-25,4,0.52825,0,0,1,0,1,0,0,0,0,0
2020-12-24,2020-12-24,1,0.0516,0,0,0,0,0,0,0,0,1,0
2020-12-23,2020-12-23,4,-0.0676,0,1,0,0,0,0,0,0,0,0
2020-12-22,2020-12-22,5,0.7010200000000001,0,1,0,0,0,0,0,0,0,1
2020-12-21,2020-12-21,4,0.6019000000000001,0,1,0,0,0,0,0,0,0,0
2020-12-20,2020-12-20,3,-0.19323333333333334,0,0,0,0,0,0,0,1,0,0
2020-12-19,2020-12-19,2,0.4417,0,0,0,0,0,0,0,0,0,0
2020-12-18,2020-12-18,9,0.36817777777777777,0,1,0,0,0,1,0,0,1,0
2020-12-17,2020-12-17,7,0.20941428571428575,0,0,1,0,0,0,0,0,0,0
2020-12-16,2020-12-16,6,0.43554999999999994,0,0,1,0,0,0,0,0,0,0
2020-12-15,2020-12-15,3,0.31783333333333336,0,0,1,0,0,0,0,0,0,0
2020-12-14,2020-12-14,4,0.3061,0,1,1,0,0,0,0,0,0,0
2020-12-11,2020-12-11,5,0.34021999999999997,0,1,1,0,0,0,0,0,0,1
2020-12-10,2020-12-10,1,0.8034,0,0,0,0,0,0,0,0,0,0
2020-12-09,2020-12-09,1,0.508,0,0,0,0,0,0,0,0,0,0
2020-12-08,2020-12-08,2,0.04400000000000001,0,0,0,0,0,0,0,0,0,0
2020-12-07,2020-12-07,3,0.37516666666666665,0,0,1,0,0,0,0,0,0,0
2020-12-06,2020-12-06,3,0.8783666666666666,0,0,1,0,0,0,0,0,0,0
2020-12-05,2020-12-05,1,0.7351,0,0,0,0,0,0,0,0,0,0
2020-12-04,2020-12-04,3,0.5113666666666666,0,0,0,0,0,0,0,0,1,0
2020-12-03,2020-12-03,1,0.7424,0,0,0,0,0,0,0,1,0,0
2020-12-02,2020-12-02,3,0.5072666666666666,0,0,1,0,0,0,0,0,0,0
2020-12-01,2020-12-01,3,-0.30006666666666665,0,0,0,1,0,0,0,0,0,0
2020-11-30,2020-11-30,5,0.2902,0,0,0,1,0,0,0,0,1,0
2020-11-28,2020-11-28,2,-0.5511,0,0,0,0,0,0,0,0,0,0
2020-11-27,2020-11-27,1,0.2023,0,0,0,0,0,0,0,0,1,0
2020-11-26,2020-11-26,4,-0.178025,0,0,0,0,0,0,0,1,0,0
2020-11-25,2020-11-25,3,-0.24570000000000003,0,0,0,0,0,0,0,0,1,0
2020-11-24,2020-11-24,1,0.3612,0,0,0,0,0,0,0,0,0,0
2020-11-23,2020-11-23,4,0.467175,0,0,0,0,0,0,0,0,0,0
2020-11-22,2020-11-22,3,0.12626666666666667,0,1,1,0,0,0,0,0,0,0
2020-11-21,2020-11-21,3,0.16293333333333335,0,0,1,0,0,0,0,0,0,0
2020-11-20,2020-11-20,4,0.7932,0,0,0,0,0,0,0,0,1,0
2020-11-19,2020-11-19,3,0.5417666666666667,0,1,0,0,0,0,0,0,1,0
2020-11-18,2020-11-18,6,0.08838333333333337,0,1,1,0,0,0,0,0,0,0
2020-11-17,2020-11-17,8,-0.02504999999999999,0,0,1,0,1,0,1,0,0,0
2020-11-16,2020-11-16,5,0.04506,0,0,1,1,0,0,0,0,0,0
2020-11-13,2020-11-13,1,0.7184,0,0,0,0,0,0,0,0,0,0
2020-11-12,2020-11-12,4,-0.125425,0,0,0,0,0,0,0,0,0,0
2020-11-11,2020-11-11,2,0.5242,0,1,1,0,0,0,0,0,0,0
2020-11-10,2020-11-10,2,0.0258,0,1,0,0,0,0,0,0,0,0
2020-11-09,2020-11-09,2,0.73525,0,1,0,0,0,0,0,0,0,0
2020-11-08,2020-11-08,2,0.2496,0,0,0,0,0,0,0,0,0,0
2020-11-07,2020-11-07,1,0.4215,0,0,0,0,0,0,0,0,0,0
2020-11-06,2020-11-06,1,0.902,0,0,0,0,0,0,0,0,0,0
2020-11-05,2020-11-05,3,0.11519999999999998,0,0,0,1,1,0,0,0,0,1
2020-11-04,2020-11-04,4,0.520775,0,0,0,0,0,0,0,0,1,0
2020-11-03,2020-11-03,1,0.8271,0,1,0,0,0,0,0,0,0,0
2020-11-02,2020-11-02,1,0.7964,0,1,0,0,0,0,0,0,0,0
2020-11-01,2020-11-01,3,0.32703333333333334,0,0,0,1,0,0,0,0,0,1
2020-10-31,2020-10-31,1,0.5859,0,0,0,0,0,0,0,0,0,0
2020-10-28,2020-10-28,6,0.22771666666666668,0,1,0,0,0,0,1,0,0,0
2020-10-27,2020-10-27,7,0.21495714285714287,0,0,1,1,0,0,1,1,0,1
2020-10-26,2020-10-26,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-10-25,2020-10-25,1,0.6467,0,0,0,0,0,0,0,0,0,0
2020-10-24,2020-10-24,1,0.1779,0,0,0,0,0,0,0,0,0,0
2020-10-23,2020-10-23,5,0.5614000000000001,0,0,0,0,0,0,0,0,0,0
2020-10-22,2020-10-22,6,0.46996666666666664,0,0,0,0,0,0,1,1,1,1
2020-10-21,2020-10-21,14,0.5277428571428572,0,0,0,1,0,0,0,1,0,1
2020-10-20,2020-10-20,7,0.6163571428571429,0,0,0,0,1,0,0,0,0,0
2020-10-19,2020-10-19,5,0.53668,0,0,0,0,0,0,0,0,0,1
2020-10-17,2020-10-17,4,0.8032250000000001,0,0,0,0,0,0,0,0,0,0
2020-10-16,2020-10-16,6,0.5070166666666667,0,0,0,0,0,0,0,0,0,0
2020-10-15,2020-10-15,1,0.9186,0,0,0,0,0,0,0,0,0,0
2020-10-13,2020-10-13,1,0.3612,0,1,0,0,0,0,0,0,0,0
2020-10-12,2020-10-12,3,0.28450000000000003,0,0,0,0,0,0,0,0,0,0
2020-10-10,2020-10-10,2,0.0701,0,0,0,0,0,0,0,0,0,0
2020-10-08,2020-10-08,1,-0.296,0,0,0,0,0,0,0,0,0,0
2020-10-07,2020-10-07,1,0.7378,0,0,0,0,0,0,0,0,0,0
2020-10-05,2020-10-05,2,0.73125,0,0,0,0,0,0,0,0,0,0
2020-10-04,2020-10-04,1,-0.2514,0,0,1,0,0,0,0,0,0,0
2020-10-02,2020-10-02,2,0.0,0,0,0,0,0,0,0,0,0,0
2020-09-30,2020-09-30,1,0.807,0,0,0,0,0,0,0,0,0,0
2020-09-28,2020-09-28,2,0.68485,0,0,0,0,0,0,0,0,0,0
2020-09-27,2020-09-27,2,0.1881,0,1,0,0,0,0,0,0,0,0
2020-09-25,2020-09-25,2,0.6643,0,0,0,0,0,0,0,0,0,0
2020-09-24,2020-09-24,1,0.8386,0,0,0,0,0,0,0,0,0,1
2020-09-23,2020-09-23,2,0.67355,0,1,0,0,0,0,0,0,0,0
2020-09-21,2020-09-21,2,0.6265499999999999,0,0,0,0,0,0,1,0,0,0
2020-09-20,2020-09-20,3,0.4098,0,0,0,0,0,0,0,0,0,0
2020-09-19,2020-09-19,1,0.2933,0,0,0,0,0,0,0,0,0,0
2020-09-18,2020-09-18,1,0.8591,0,0,0,0,0,0,0,0,0,0
2020-09-17,2020-09-17,2,0.3548,0,1,0,0,0,0,0,0,0,0
2020-09-16,2020-09-16,1,0.7717,0,0,0,0,0,0,0,0,0,0
2020-09-14,2020-09-14,1,0.9323,0,0,0,0,0,0,0,0,0,0
2020-09-11,2020-09-11,1,0.0,0,0,1,0,0,0,0,0,0,0
2020-09-10,2020-09-10,1,0.765,0,0,0,0,0,0,0,0,0,0
2020-09-08,2020-09-08,2,0.061850000000000016,0,0,0,0,0,0,0,0,0,0
2020-09-07,2020-09-07,2,0.4063,0,0,0,0,0,0,1,0,0,0
2020-09-02,2020-09-02,1,0.6808,0,0,0,0,0,0,0,0,0,0
2020-09-01,2020-09-01,2,0.8254,0,0,1,0,0,0,0,0,0,0
2020-08-31,2020-08-31,2,0.59325,0,0,0,0,0,0,0,0,0,1
2020-08-28,2020-08-28,2,-0.2802,0,0,0,0,0,0,1,0,0,0
2020-08-27,2020-08-27,2,0.67545,0,0,0,0,0,0,0,0,0,0
2020-08-24,2020-08-24,3,0.010966666666666644,0,0,0,0,0,0,0,0,0,0
2020-08-23,2020-08-23,2,0.6294,0,0,1,0,0,0,0,0,0,0
2020-08-21,2020-08-21,3,0.6185333333333333,0,0,0,0,0,0,0,0,0,0
2020-08-20,2020-08-20,1,-0.2924,0,0,0,0,0,0,0,0,0,0
2020-08-18,2020-08-18,1,0.9589,0,0,0,0,0,0,0,0,0,0
2020-08-17,2020-08-17,2,0.32905,0,0,0,0,0,0,1,0,0,0
2020-08-16,2020-08-16,1,0.7489,0,0,1,0,0,0,0,0,0,0
2020-08-15,2020-08-15,3,0.31083333333333335,0,0,0,0,0,0,0,1,0,0
2020-08-14,2020-08-14,1,0.9095,0,0,1,0,0,0,0,0,0,0
2020-08-10,2020-08-10,1,0.7902,0,0,0,0,0,0,1,0,0,0
2020-08-06,2020-08-06,1,0.8737,0,0,0,0,0,0,1,0,0,0
2020-08-05,2020-08-05,1,-0.2263,0,0,0,0,0,0,0,0,0,0
2020-08-04,2020-08-04,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-08-03,2020-08-03,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-08-01,2020-08-01,2,0.4539,0,0,0,0,0,0,0,0,0,1
2020-07-31,2020-07-31,1,0.6124,0,0,0,0,0,0,0,0,0,1
2020-07-28,2020-07-28,1,0.0,0,0,0,1,0,0,0,0,0,0
2020-07-27,2020-07-27,4,0.0899,0,0,0,1,1,0,1,0,0,1
2020-07-22,2020-07-22,2,-0.2294,0,0,0,1,0,0,0,0,0,1
2020-07-21,2020-07-21,1,-0.5228,0,0,0,0,0,0,1,0,0,0
2020-07-19,2020-07-19,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-07-18,2020-07-18,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-07-17,2020-07-17,1,0.9169,0,0,0,0,0,0,0,0,0,0
2020-07-16,2020-07-16,2,0.17,0,0,0,0,0,0,0,0,0,0
2020-07-15,2020-07-15,3,-0.16256666666666666,0,0,0,0,0,0,0,0,0,0
2020-07-13,2020-07-13,1,-0.34,0,0,0,0,0,0,0,0,0,0
2020-07-12,2020-07-12,3,0.5651333333333334,0,0,0,0,0,0,0,0,0,0
2020-07-09,2020-07-09,1,0.6652,0,0,0,0,0,0,0,0,0,0
2020-07-08,2020-07-08,3,0.3358333333333334,0,0,0,1,0,0,1,0,0,0
2020-07-03,2020-07-03,1,0.4215,0,0,0,0,0,0,0,0,0,0
2020-07-02,2020-07-02,2,0.29295,0,0,0,0,0,0,0,0,0,0
2020-06-29,2020-06-29,1,-0.1779,0,0,0,0,0,0,0,0,0,0
2020-06-25,2020-06-25,1,-0.3818,0,0,0,0,0,0,0,0,0,0
2020-06-24,2020-06-24,1,0.4939,0,0,0,0,0,0,0,0,0,0
2020-06-23,2020-06-23,2,0.5924,0,0,0,0,0,0,0,0,0,0
2020-06-22,2020-06-22,1,0.5499,0,0,0,0,0,0,0,0,0,0
2020-06-18,2020-06-18,1,0.6249,0,0,0,0,0,0,0,0,0,0
2020-06-17,2020-06-17,1,0.6597,0,0,0,0,0,0,0,0,0,1
2020-06-15,2020-06-15,2,0.08909999999999998,0,0,0,0,0,0,0,0,0,1
2020-06-14,2020-06-14,1,-0.4939,0,0,0,0,0,0,0,0,0,0
2020-06-13,2020-06-13,2,0.0,0,0,0,0,0,0,0,0,0,0
2020-06-11,2020-06-11,1,0.9057,0,0,0,0,0,0,0,0,0,0
2020-06-06,2020-06-06,1,0.1511,0,0,0,0,0,0,0,0,0,0
2020-06-05,2020-06-05,1,0.8176,0,0,1,0,0,0,0,0,0,0
2020-06-04,2020-06-04,1,0.3182,0,0,0,0,0,0,0,0,0,0
2020-06-02,2020-06-02,3,0.1307,0,0,0,0,1,0,1,0,0,0
2020-05-29,2020-05-29,2,0.0658,0,0,0,0,0,0,0,0,0,0
2020-05-28,2020-05-28,2,0.73605,0,0,0,0,0,0,0,0,0,0
2020-05-25,2020-05-25,2,0.11544999999999997,0,0,0,0,0,0,0,0,0,1
2020-05-23,2020-05-23,1,0.4404,0,0,0,0,0,0,0,0,0,0
2020-05-22,2020-05-22,8,0.4898874999999999,0,0,1,0,0,0,0,0,0,0
2020-05-21,2020-05-21,1,0.5859,0,0,1,0,0,0,0,0,0,0
2020-05-20,2020-05-20,2,-0.20420000000000002,0,0,1,0,0,0,0,0,0,0
2020-05-19,2020-05-19,1,-0.3034,0,0,0,0,0,0,0,0,0,0
2020-05-18,2020-05-18,2,-0.2294,0,0,0,0,0,0,0,0,0,0
2020-05-16,2020-05-16,2,0.9043,0,0,0,0,0,0,0,0,0,0
2020-05-15,2020-05-15,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-05-13,2020-05-13,2,0.6462000000000001,0,0,0,0,0,0,0,0,0,0
2020-05-12,2020-05-12,5,0.49102000000000007,0,0,1,0,0,0,0,0,1,0
2020-05-11,2020-05-11,13,0.4849923076923078,0,0,1,0,0,0,0,0,1,0
2020-05-10,2020-05-10,6,0.19571666666666668,0,0,1,0,0,0,0,0,0,0
2020-05-09,2020-05-09,2,0.5429999999999999,0,0,0,0,0,0,0,0,0,0
2020-05-08,2020-05-08,2,0.5428999999999999,0,0,0,0,0,0,1,0,0,0
2020-05-07,2020-05-07,3,-0.31306666666666666,0,0,0,0,1,0,0,0,0,0
2020-05-06,2020-05-06,2,0.47785,0,0,0,0,0,0,0,0,0,0
2020-05-05,2020-05-05,1,0.9872,0,0,0,0,0,0,0,0,0,0
2020-05-04,2020-05-04,3,0.5142000000000001,0,0,0,0,0,0,0,0,0,0
2020-05-02,2020-05-02,1,0.296,0,0,0,0,0,0,0,0,0,0
2020-05-01,2020-05-01,1,0.6486,0,0,0,0,0,0,0,0,0,0
2020-04-30,2020-04-30,4,0.297125,0,0,0,0,0,0,0,0,0,0
2020-04-29,2020-04-29,2,0.11434999999999998,0,0,1,0,0,0,0,0,0,0
2020-04-28,2020-04-28,2,0.20025,0,0,0,0,0,0,0,0,0,0
2020-04-27,2020-04-27,1,0.4404,0,0,1,0,0,0,0,0,0,0
2020-04-26,2020-04-26,1,0.9638,0,0,0,0,0,0,0,0,0,0
2020-04-25,2020-04-25,1,0.2732,0,0,1,0,0,0,0,0,0,0
2020-04-24,2020-04-24,1,0.765,0,0,0,0,0,0,0,0,0,0
2020-04-23,2020-04-23,3,0.17143333333333335,0,0,0,1,0,0,0,0,0,0
2020-04-22,2020-04-22,2,0.8698,0,0,0,0,0,0,0,0,0,0
2020-04-21,2020-04-21,3,0.154,0,0,1,1,0,0,0,0,0,0
2020-04-20,2020-04-20,2,-0.603,0,0,0,1,0,0,0,0,0,1
2020-04-19,2020-04-19,1,-0.3182,0,0,0,0,0,0,0,0,0,0
2020-04-16,2020-04-16,2,0.4294,0,0,0,0,0,0,0,0,0,0
2020-04-15,2020-04-15,1,0.0,0,0,1,0,0,0,0,0,0,0
2020-04-14,2020-04-14,4,-0.24957499999999994,0,0,0,0,0,0,0,0,0,0
2020-04-13,2020-04-13,1,-0.4767,0,0,0,0,0,0,0,0,0,0
2020-04-12,2020-04-12,1,0.0,0,0,1,0,0,0,0,0,0,0
2020-04-10,2020-04-10,3,0.17056666666666664,0,0,0,0,0,0,0,0,0,0
2020-04-09,2020-04-09,1,0.9442,0,0,0,0,0,0,0,0,0,0
2020-04-08,2020-04-08,1,0.0,0,0,1,0,0,0,0,0,0,0
2020-04-07,2020-04-07,1,0.5423,0,0,0,0,0,0,0,0,1,0
2020-04-05,2020-04-05,1,0.7547,0,0,0,0,0,0,0,0,0,0
2020-04-03,2020-04-03,1,0.75,0,0,0,0,0,0,1,0,0,0
2020-04-02,2020-04-02,5,0.12454000000000001,0,0,0,0,1,0,1,0,0,0
2020-04-01,2020-04-01,1,0.9531,0,0,0,0,0,0,0,0,0,1
2020-03-30,2020-03-30,4,0.17584999999999998,0,0,0,0,0,0,1,0,0,1
2020-03-29,2020-03-29,1,-0.34,0,0,0,0,0,0,0,0,0,1
2020-03-27,2020-03-27,2,0.58085,0,0,0,1,0,0,1,0,0,0
2020-03-25,2020-03-25,4,0.174275,0,0,1,0,0,0,0,0,0,0
2020-03-24,2020-03-24,2,0.44995,0,0,0,0,0,0,0,0,0,0
2020-03-23,2020-03-23,2,-0.1055,0,0,0,0,0,0,0,0,0,0
2020-03-20,2020-03-20,1,0.6696,0,0,0,0,0,0,0,0,0,0
2020-03-19,2020-03-19,3,0.2569333333333333,0,0,1,0,0,0,1,0,0,0
2020-03-17,2020-03-17,2,-0.24695,0,0,0,1,1,0,0,0,0,0
2020-03-16,2020-03-16,3,0.19796666666666665,0,0,1,0,0,0,0,0,0,1
2020-03-14,2020-03-14,3,0.5035666666666666,0,0,0,0,0,0,0,0,0,0
2020-03-13,2020-03-13,5,0.09474,0,0,1,0,0,0,1,0,0,0
2020-03-12,2020-03-12,3,0.7704,0,0,0,0,0,0,0,0,0,0
2020-03-11,2020-03-11,2,-0.43279999999999996,0,0,0,0,0,0,0,0,0,0
2020-03-09,2020-03-09,3,0.12456666666666667,0,0,0,0,0,0,1,0,0,0
2020-03-07,2020-03-07,1,-0.6838,0,0,0,0,1,0,0,0,0,0
2020-03-06,2020-03-06,1,0.4404,0,0,0,0,0,0,0,0,0,0
2020-03-04,2020-03-04,1,0.946,0,0,0,0,0,0,0,0,0,0
2020-03-03,2020-03-03,4,0.341075,0,0,1,0,0,0,0,0,0,0
2020-02-29,2020-02-29,4,0.11860000000000002,0,0,0,0,1,0,0,0,0,0
2020-02-28,2020-02-28,1,0.9517,0,0,0,0,0,1,0,0,0,0
2020-02-27,2020-02-27,3,0.24736666666666665,0,0,1,0,0,0,0,0,0,0
2020-02-25,2020-02-25,3,0.18306666666666668,0,0,0,0,0,0,0,0,0,0
2020-02-24,2020-02-24,1,0.3182,0,0,0,0,0,0,0,0,1,0
2020-02-22,2020-02-22,1,0.128,0,0,0,0,0,0,0,0,0,0
2020-02-21,2020-02-21,1,0.3382,0,0,0,0,0,0,0,0,0,0
